un_012570_0005#0,"""[Reasons for Secrecy]<br>ข้อความชั่วคราว"""
un_012570_0010#0,"""...... อ๊ะ สวัสดี"""
un_012570_0020#0,"""......การต่อสู้ก่อนหน้านี้นี่เรื่องใหญ่เอาการ<br>เลยเนอะ ดีแล้วล่ะที่ปลอดภัยทั้งสองคน"""
un_012570_0030#0,"""......แต่ที่ไม่เข้าใจก็คือเรื่องที่<br>Dark Falz ไปปรากฏตัวบนดาว<br>Naberius"""
un_012570_0040#0,"""......ARKS เองก็เป็นองค์กรเพราะฉะนั้น<br>มันก็เลยเป็นเรื่องแน่นอนที่จะต้องมี<br>เรื่องที่มีเฉพาะเบื้องบนเท่านั้นที่รู้อยู่......"""
un_012570_0050#0,"""......สิ่งที่พวกเขาหวังจะปกปิด<br>เอาไว้เป็นความลับมันคืออะไรกันนะ<br>ชั้นกังวลใจเรื่องนั้นแหละ"""
un_012570_0060#0,"""......ปกปิดซ่อนเอาไว้แบบนี้แสดงว่ามันต้อง<br>มีเรื่องอะไรสักอย่างแน่อนเลย......"""
un_012570_0070#0,"""......ขอโทษนะ การมานั่งหวาด<br>ระแวงแบบนี้มันไม่ค่อยจะดีเลยเนอะ<br>ถ้างั้น ไว้เจอกันนะ"""
un_012570_0005#1,"""【隠し事の理由は】<br>仮テキスト"""
un_012570_0010#1,"""……あ、こんにちは。"""
un_012570_0020#1,"""……この前の、戦闘は大変だったわね。<br>お互い、無事ですんでよかったわ。"""
un_012570_0030#1,"""……でも、理解できないのは<br>ナベリウスからダークファルスが<br>現れたってこと。"""
un_012570_0040#1,"""……アークスだって組織だから<br>上層部しか知らない秘密というのは<br>もちろんあるんだろうけど……"""
un_012570_0050#1,"""……黙っていたことよりも<br>それで何を隠そうとしていたのか<br>それが気になる。"""
un_012570_0060#1,"""……隠すってことは、何らかの<br>不都合があるはず……"""
un_012570_0070#1,"""……ごめんなさい。<br>疑心暗鬼になるのはよくないわね。<br>それじゃ、私は行くわ。"""
